Player,Year,School,arm_length_inches
Malik Nabers,2024,LSU,
Brian Thomas Jr.,2024,LSU,
Adonai Mitchell,2024,Texas,32.38
Troy Franklin,2024,Oregon,31.88
Ladd McConkey,2024,Georgia,30.25
Ricky Pearsall,2024,Florida,30.88
Brenden Rice,2024,USC,33.0
Xavier Worthy,2024,Texas,31.12
Jermaine Burton,2024,Alabama,31.0
Ja'Lynn Polk,2024,Washington,31.75
Keon Coleman,2024,Florida State,32.12
Malik Washington,2024,Virginia,30.38
Xavier Legette,2024,South Carolina,31.88
Javon Baker,2024,UCF,32.25
Malachi Corley,2024,Western Kentucky,32.12
Roman Wilson,2024,Michigan,30.38
Johnny Wilson,2024,Florida State,35.38
Devontez Walker,2024,North Carolina,33.25
Tahj Washington,2024,USC,29.12
Luke McCaffrey,2024,Rice,30.12
Ainias Smith,2024,Texas A&M,29.0
Jalen McMillan,2024,Washington,32.12
Cornelius Johnson,2024,Michigan,31.88
Anthony Gould,2024,Oregon State,29.62
Isaiah Williams,2024,Illinois,30.12
Jamari Thrash,2024,Louisville,31.0
Ryan Flournoy,2024,SE Missouri State,31.62
Jacob Cowing,2024,Arizona,29.25
Jalen Coker,2024,Holy Cross,32.88
Lideatrick Griffin,2024,Mississippi St.,30.62
Joshua Cephus,2024,UTSA,
Bub Means,2024,Pittsburgh,33.25
Jordan Whittington,2024,Texas,
Jha'Quan Jackson,2024,Tulane,30.88
Marcus Rosemy-Jacksaint,2024,Georgia,33.0
Mason Tipton,2024,Yale,
Xavier Weaver,2024,Colorado,31.12
Jaxon Janke,2024,South Dakota State,
John Jiles,2024,West Florida,
Cole Burgess,2024,SUNY Cortland,
Tejhaun Palmer,2024,UAB,
Jadon Janke,2024,South Dakota State,
Tyler Harrell,2024,Miami,
Casey Washington,2024,Illinois,
David White,2024,Western Carolina,
Ty James,2024,Mercer,
Isaiah Wooden,2024,Southern Utah,
Tayvion Robinson,2024,Kentucky,31.0
Devaughn Vele,2024,Utah,33.5
Sam Schnee,2024,Northern Iowa,
Hayden Hatten,2024,Idaho,
Beau Corrales,2024,Texas State,
Drake Stoops,2024,Oklahoma,
Kameron Johnson,2024,Barton College,
Cole Beck,2024,Virginia Tech,
Wayne Ruby,2024,Mount Union,
Leon Johnson,2024,Oklahoma State,
Billy Bowens,2024,Boise State,
Bryce Oliver,2024,Youngstown State,
Ajou Ajou,2024,Garden City,
Caleb Chapman,2024,Incarnate Word,
Tanner Knue,2024,Eastern Michigan,
Sam Wiglusz,2024,Ohio,
Dakota Caton,2024,Indiana State,
Praise Olatoke,2024,Nigeria (Intl.),
Marcus Riley,2024,Florida A&M,
Dre Tucker,2024,Monmouth,
Dev Holmes,2024,New Haven,
Ahmarean Brown,2024,South Carolina,
Red Wilson,2024,North Dakota,
Jordan Kerley,2024,SMU,
Ramel Keyton,2024,Tennessee,
Smoke Harris,2024,Louisiana Tech,
Tim Patrick,2024,Southern Utah,
Zach McCarron-Mathis,2024,North Dakota St.,
Noah Frith,2024,Liberty,
CJ Hardy,2024,Incarnate Word,
Xavier Wade,2024,Ferris State,
Julian Hicks,2024,Albany,
Jeshaun Jones,2024,Maryland,
DeVonte Tanksley,2024,Tenn.-Martin,
D'Ante' Cox,2024,Southern Illinois,
Zach Peterson,2024,Michigan,
Sam Pinckney,2024,Coastal Carolina,
Dee Williams,2024,Tennessee,
Xavier Johnson,2024,Ohio State,
Marcus Rogers,2024,Troy,
Brevin Easton,2024,Albany,
Barry Elliott,2024,Fayetteville State,
R.J. Starkey,2024,Samford,
Re-al Mitchell,2024,San Diego,
Dayton Wade,2024,Ole Miss,
Darrell Harding,2024,Buffalo,
Carlos Hill,2024,nan,
DeAngelo Hardy,2024,North Central (Ill.),
Hendrix Johnson,2024,Northern Arizona,
Jalon Calhoun,2024,Duke,
Devin Maddox,2024,Toledo,
Terrell Vaughn,2024,Utah State,
Xavier White,2024,Texas Tech,
Arland Bruce IV,2024,Oklahoma State,
Devin Carter,2024,West Virginia,
Bud Tolbert,2024,UL-Monroe,
Cam Johnson,2024,Northwestern,33.5
Quinton Lane,2024,Jacksonville St.,
Yemi Ward,2024,St. Ambrose,
Amad Anderson,2024,Temple,
OJ Hiliare,2024,Bowling Green,
Phillip Brooks,2024,Kansas State,
Brian Jenkins,2024,Olivet Nazarene,
Noah Sarria,2024,Colorado Mesa,
Jaelen Gill,2024,Fresno State,
Anthony Frederick,2024,Bryant,
Ayir Asante,2024,Wyoming,
Terique Owens,2024,Missouri State,
Kaleb Carter,2024,Louisiana,
Tykee Ogle-Kellogg,2024,UTSA,
Caden Leggett,2024,West Florida,
Peyton Brown,2024,Davenport,
Jon Schofield,2024,College of Idaho,
Lincoln Victor,2024,Washington State,
Tyrone Howell,2024,UL Monroe,
Je'Quan Burton,2024,FAU,
James McNeill,2024,Bowie State,
Brandon Porter,2024,Incarnate Word,
Deshon Stoudemire,2024,Troy,
Isaah Crocker,2024,Nevada,
Lawrence Keys,2024,Tulane,
JaQuae Jackson,2024,Rutgers,
Stefan Cobbs,2024,Boise State,
Tauskie Dove,2024,Memphis,
Perry Carter,2024,Jacksonville State,
Warren Thompson,2024,TCU,
Joe Scates,2024,Memphis,
Derrick Hinton,2024,Saginaw Valley St.,
Cole Harrity,2024,Buffalo,
Kyle Sheets,2024,Slippery Rock,
David Robinson,2024,Nicholls State,
Corey Crooms,2024,Minnesota,
Treveyon Pratt,2024,Morgan State,
Qadir Ismail,2024,Samford,
Geordon Porter,2024,UConn,
Kassidy Woods,2024,Auburn,
CJ Jefferson,2024,Ferris State,
Isaiah Washington,2024,Rutgers,
Jermaine Brown,2024,UAB,
Devin Briscoe,2024,La. Christian,
Mark Pope,2024,UMass,
Drew Dixon,2024,Limestone,
DeQuece Carter,2024,Indiana,
Brennen McGuire,2024,Gardner-Webb,
Koby Duru,2024,Louisiana Tech,
Terrill Cole,2024,West Georgia,
Kashan Griffin,2024,NW Missouri St.,
Jojo Marinella,2024,Randolph-Macon,
Dre Wallace-Davis,2024,Anna Maria,
Reggie Brown,2024,James Madison,
Latreal Jones,2024,Southern Miss,
Jake L'Heureux,2024,Edinboro,
Eddie Lewis,2024,South Carolina,
Jaylon Robinson,2024,TCU,
AP Pitre,2024,Southern,
Peter LeBlanc,2024,Louisiana,
Taymon Cooke,2024,N. Carolina A&T,
Demarcus Gregory,2024,C. Missouri St.,
Brian Hightower,2024,California,
Karl Reynolds,2024,Houston Christian,
Joe Wilkins Jr.,2024,Miami (Ohio),
Jeremiah Hixon,2024,New Mexico,
BK Smith,2024,Valdosta State,
Dee Wiggins,2024,Cincinnati,
Austin Osborne,2024,Bowling Green,
John Jackson III,2024,Nevada,
RJ Mobley,2024,Winston Salem,
Dominick Blaylock,2024,Georgia Tech,
Joshua Youngblood,2024,Delaware,
Ty King,2024,Samford,
Dimitri Stanley,2024,Iowa State,
Rashad Jordan,2024,Albany State,
Monroe Young,2024,California,
Josiah Norwood,2024,UCLA,
Jesiah Irish,2024,Oregon State,
Daniel George,2024,Akron,
Chris Autman-Bell,2024,Minnesota,
Harry Van Dyne,2024,Indiana State,
Tyrese Chambers,2024,Maryland,
Salvatore Lupoli,2024,Bentley,
Devon Jones,2024,Augustana (S.D.),
Khaleb Hood,2024,Georgia Southern,
Jarett Garner,2024,East Carolina,
Erik Brooks,2024,Fresno State,
Jalen Burbage,2024,Eastern Kentucky,
Tre Mosley,2024,Michigan St.,
Zack Dobson,2024,M. Tennessee St.,
Nick Mardner,2024,Auburn,
Eddie Ogle,2024,Liberty,
Jakarius Caston,2024,Southern Miss,
Rayjuon Pringle,2024,Villanova,
Trevon Alexander,2024,NW Missouri St.,
Shane Hooks,2024,Auburn,
Clevan Thomas Jr.,2024,Montana State,
Bradley Rozner,2024,NC State,
Chris Bellamy,2024,New Mexico St.,
Jermaine Jackson,2024,Idaho,
Marcus Washington,2024,Nebraska,
Jerome Buckner,2024,Illinois State,
Jaivian Lofton,2024,Utah Tech,
Freddie Roberson,2024,Mississippi State,
Javon Antonio,2024,Colorado,
JaJuan Forte',2024,UCF,
Boobie Curry,2024,Buffalo,
Ahmad Edwards,2024,Ball State,
Miles Marshall,2024,Miami (Ohio),
Phoenix Sproles,2024,James Madison,
Frank Bentley,2024,Florida Memorial,
Assanti Kearney,2024,Monmouth,
Billy Kemp,2024,Nebraska,
Leroy Thomas,2024,Western Michigan,
Dezmin Lyburtus,2024,Ashland,
Kenyon'TA Skinner,2024,West Georgia,
Seth Porter,2024,Kansas State,
Keyon Lesane,2024,North Carolina State,
Zane Lewis,2024,Delaware,
Giovanni Sanders,2024,Arizona State,
Kyndel Dean,2024,Furman,
Nico Ragaini,2024,Iowa,
D'Marcus Adams,2024,Syracuse,
JJ Laap,2024,SUNY Cortland,
Hamze El-Zayat,2024,Eastern Michigan,
Marlon Cook,2024,Tenn.-Martin,
