Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
260,UDFA,Richard Jibunor,Troy,EDGE,EDGE28,7th-PFA,4.53,56,Not on PFF Board
261,257,Jaylen Key,Alabama,SAF,SAF23,7th-PFA,4.53,35,Not on PFF Board
262,179,Sataoa Laumea,UTAH,RT,OT31,7th-PFA,4.52,-82,-41
263,UDFA,Khalid Duke,Kansas State,EDGE,EDGE29,7th-PFA,4.52,43,45
184,UDFA,Kendall Milton,Georgia,RB,RB11,7th-PFA,4.51,54,76
265,UDFA,Mike Edwards,Campbell,OT,OT32,7th-PFA,4.50,Not in Consensus,Not on PFF Board
308,UDFA,Dillon Johnson,Washington,RB,RB20,7th-PFA,4.50,-121,-99
267,UDFA,Kyle Hergel,Boston College,OG,OG14,7th-PFA,4.50,100,Not on PFF Board
268,UDFA,Julian Pearl,ILLINOIS,LT,OT33,7th-PFA,4.48,-27,Not on PFF Board
269,UDFA,Kenny Logan Jr.,Kansas,SAF,SAF24,7th-PFA,4.48,15,18
270,151,Jaylon Carlies,Missouri,SAF,SAF25,7th-PFA,4.48,-35,Not on PFF Board
271,200,Jaden Crumedy,Mississippi State,IDL,IDL22,7th-PFA,4.47,-53,-44
272,UDFA,Javion Cohen,Miami,OG,OG15,7th-PFA,4.47,-103,-78
199,UDFA,Emani Bailey,TCU,RB,RB14,7th-PFA,4.45,68,23
274,UDFA,Xavier Weaver,Colorado,WR,WR39,7th-PFA,4.44,18,Not on PFF Board
275,UDFA,Kam Pedescleaux,Tulane,SAF,SAF26,7th-PFA,4.42,Not in Consensus,Not on PFF Board
276,UDFA,Trey Knox,S CAROLINA,TE,TE15,7th-PFA,4.42,26,-17
277,78,Matt Goncalves,PITTSBURGH,LT,OT34,7th-PFA,4.42,-137,-157
278,UDFA,Kalen DeLoach,Florida State,LB,LB21,7th-PFA,4.40,71,Not on PFF Board
279,UDFA,Jaxon Janke,South Dakota State,WR,WR40,PFA,4.37,317,Not on PFF Board
280,UDFA,Jontrey Hunter,Georgia State,LB,LB22,PFA,4.37,-11,16
281,UDFA,Chigozie Anusiem,Colorado State,CB,CB42,PFA,4.36,56,Not on PFF Board
282,UDFA,Tanner Mordecai,Wisconsin,QB,QB12,PFA,4.35,99,Not on PFF Board
283,UDFA,Jason Bean,Kansas,QB,QB13,PFA,4.34,106,30
284,UDFA,Evan Anderson,Florida Atlantic,IDL,IDL23,PFA,4.33,-34,1
285,UDFA,Larry Walker Jr.,Albany,SAF,SAF27,PFA,4.32,Not in Consensus,Not on PFF Board
286,202,Travis Glover,GA STATE,LT,OT35,PFA,4.32,-28,Not on PFF Board
287,UDFA,P.J. Jules,Southern Illinois,SAF,SAF28,PFA,4.32,122,Not on PFF Board
288,UDFA,Michael Hiers,Samford,QB,QB14,PFA,4.31,155,Not on PFF Board
289,UDFA,Dallas Gant,Toledo,LB,LB23,PFA,4.31,45,-1
290,207,Mike Jerrell,Findlay,OT,OT36,PFA,4.30,Not in Consensus,Not on PFF Board
291,UDFA,Colson Yankoff,UCLA,TE,TE16,PFA,4.30,Not in Consensus,Not on PFF Board
194,UDFA,Frank Gore Jr.,Southern Miss,RB,RB13,PFA,4.30,65,40
293,UDFA,Mark Perry,TCU,SAF,SAF29,PFA,4.29,36,14
294,UDFA,Maema Njongmeta,Wisconsin,LB,LB24,PFA,4.28,137,Not on PFF Board
295,232,Levi Drake Rodriguez,TAMU,IDL,IDL24,PFA,4.28,331,Not on PFF Board
296,UDFA,Taulia Tagovailoa,Maryland,QB,QB15,PFA,4.27,48,-29
297,UDFA,Miles Battle,Utah,CB,CB43,PFA,4.27,114,Not on PFF Board
298,UDFA,Spencer Sanders,Mississippi,QB,QB16,PFA,4.23,212,Not on PFF Board
299,UDFA,Brevyn Spann-Ford,MINNESOTA,TE,TE17,PFA,4.22,-104,-5
300,UDFA,Gavin Hardison,UTEP,QB,QB17,PFA,4.22,204,Not on PFF Board
301,UDFA,Trajan Jeffcoat,Arkansas,EDGE,EDGE30,PFA,4.22,-48,-9
302,UDFA,Donovan Jennings,USF,LT,OT37,PFA,4.22,50,-49
303,UDFA,Andrew Coker,TCU,LT,OT38,PFA,4.20,-4,-31
292,UDFA,George Holani,Boise State,RB,RB18,PFA,4.20,73,Not on PFF Board
305,201,Micah Abraham,Marshall,CB,CB44,PFA,4.20,115,Not on PFF Board
306,UDFA,Prince Pines,Tulane,OG,OG16,PFA,4.20,71,Not on PFF Board
307,UDFA,Bo Richer,Air Force,LB,LB25,PFA,4.20,Not in Consensus,Not on PFF Board
264,UDFA,Carson Steele,UCLA,RB,RB15,PFA,4.20,15,-48
309,UDFA,Millard Bradford,TCU,SAF,SAF30,PFA,4.20,-1,Not on PFF Board
310,UDFA,John Jiles,West Florida,WR,WR41,PFA,4.19,270,Not on PFF Board
311,228,Nick Samac,Michigan State,C,C10,PFA,4.19,9,Not on PFF Board
424,165,Rasheen Ali*,Marshall,RB,RB30,PFA,4.17,-241,-225
