player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
JaQues Evans,123449,ED,W KENTUCKY,6,7,1.9,1,0,346,50.9,70.2,0.0,86.8,70.6,67.8,4.5,1,5,141,142,7.1,10,14
Aaron Key,123454,LB,W KENTUCKY,13,7,5.2,0,0,346,62.9,48.6,5.2,46.8,43.4,51.5,8.0,2,2,177,180,4.5,8,16
Kendrick Simpkins,123466,S,W KENTUCKY,12,10,5.7,0,0,346,63.2,70.2,63.2,91.0,57.6,53.4,17.4,8,1,351,358,2.8,10,28
Terrion Thompson,123468,DI,W KENTUCKY,13,10,2.2,0,0,346,,60.9,85.2,60.0,59.6,51.9,11.1,3,0,160,160,4.4,7,14
Quincy Ledet Jr.,123485,DI,TEXAS TECH,13,5,4.0,0,1,315,64.5,67.1,84.4,61.2,67.2,60.6,10.0,2,0,175,178,5.1,9,13
Marcus Moore,123487,DI,N TEXAS,11,4,2.3,0,1,251,,74.0,47.9,60.3,80.4,52.4,11.8,2,1,108,112,6.5,7,11
Kadren Johnson,123513,ED,N TEXAS,9,2,4.5,0,0,251,60.0,49.8,80.0,56.5,45.8,62.0,0.0,0,0,55,58,1.8,1,2
Kam Arnold,123531,LB,BOSTON COL,13,25,4.7,0,1,121,61.5,65.4,86.3,58.6,67.8,69.1,8.5,5,0,397,405,4.0,16,29
Cam Horsley,123541,DI,BOSTON COL,13,15,2.1,0,0,121,47.1,72.5,86.5,63.3,81.0,60.4,7.1,3,0,261,267,6.5,17,24
Sammy Anderson Jr.,123554,CB,CINCINNATI,1,0,,0,0,138,64.0,53.9,70.4,,60.0,,,0,0,2,2,0.0,0,0
Todd Bumphis,123557,CB,CINCINNATI,5,0,0.0,0,0,138,65.3,70.4,75.3,,72.9,77.0,0.0,0,0,21,21,4.8,1,1
De'Arre McDonald,123572,CB,MIDDLE TN,12,0,2.7,0,0,224,50.1,50.5,87.3,57.3,49.5,61.0,40.0,2,1,133,137,0.8,1,3
Dominique Perry,123575,DI,CINCINNATI,1,0,,0,0,138,,63.0,70.7,60.0,61.7,,,0,0,4,4,0.0,0,0
Evan Prater,123576,WR,CINCINNATI,1,0,,0,0,138,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Justin Wodtly,123586,ED,CINCINNATI,11,6,3.5,0,0,138,60.0,63.8,39.1,65.0,64.6,56.5,9.1,1,1,86,87,3.5,3,4
Evan Anderson,123590,DI,FAU,12,11,2.7,0,0,165,45.3,79.3,68.7,70.5,83.7,61.1,9.8,4,1,245,246,8.2,20,26
Decarius Hawthorne,123598,DI,FAU,11,6,3.2,0,0,165,60.0,67.2,22.8,75.1,61.4,37.2,16.7,3,2,135,136,3.0,4,9
Jarrett Jerrels,123599,LB,FAU,12,3,1.9,0,0,165,61.0,68.7,81.9,62.2,74.6,66.6,5.9,1,0,86,86,11.6,10,13
Chris Jones,123601,ED,FAU,12,1,2.3,0,0,165,60.9,64.4,86.2,58.1,66.7,67.2,5.9,1,0,217,218,5.5,12,15
Marlon Krakue,123604,ED,FAU,8,3,,0,0,165,,68.5,81.3,59.9,74.7,59.8,0.0,0,0,32,32,0.0,0,0
Justin McKithen,123608,CB,FAU,5,0,,0,0,165,72.1,67.6,78.7,57.2,47.1,29.4,,0,0,40,40,0.0,0,0
LaJohntay Wester,123616,WR,FAU,1,0,,2,0,165,60.0,62.9,60.0,,60.0,,,0,2,1,1,0.0,0,0
Chance Coleman,123621,LB,FIU,1,0,19.0,0,0,166,60.0,54.9,63.6,,56.5,73.1,0.0,0,0,2,2,0.0,0,1
Reggie Peterson,123643,LB,FIU,12,22,3.6,0,0,166,53.2,60.4,87.2,59.6,64.4,74.9,7.9,6,0,342,347,9.1,31,48
Jamal Potts,123645,S,FIU,12,12,7.0,0,0,166,71.9,68.2,68.4,62.9,61.6,57.0,19.6,9,2,423,429,2.8,12,25
Andrew Volmar,123650,CB,LA MONROE,10,2,13.5,0,0,209,58.7,56.6,80.7,,46.9,65.9,20.0,1,2,86,90,0.0,0,2
Nelson Ceaser,123656,ED,HOUSTON,11,11,4.2,0,0,182,55.1,73.5,38.3,71.3,76.6,70.8,5.4,2,3,264,270,7.2,19,24
Chidozie Nwankwo,123676,DI,HOUSTON,9,7,0.4,0,0,182,64.4,73.0,86.3,60.3,76.6,74.4,4.5,1,0,159,160,8.8,14,14
Sedrick Williams,123687,DI,HOUSTON,11,1,1.6,0,0,182,,58.3,37.7,67.7,50.3,37.5,33.3,3,1,67,68,7.5,5,5
Jabre Barber,123689,WR,TROY,1,0,,0,0,318,,60.1,60.0,,60.0,,,0,2,1,1,0.0,0,0
T.J. Jackson Jr.,123708,DI,TROY,12,2,3.0,0,1,318,64.8,89.7,82.9,74.9,91.0,83.7,0.0,0,0,154,156,7.1,11,15
Luis Medina,123715,DI,TROY,14,4,1.6,0,0,318,61.4,65.9,80.7,55.5,70.4,72.3,6.3,1,0,121,122,8.3,10,11
Darrell Starling Jr.,123723,CB,TROY,6,0,-3.0,0,0,318,49.1,54.6,78.9,60.0,67.3,75.3,0.0,0,0,15,15,6.7,1,1
Terry Thomas,123725,LB,TROY,14,11,5.6,0,0,318,53.7,55.2,85.0,62.9,54.9,57.5,17.6,6,0,204,205,4.9,10,17
Cam Williams,123730,ED,JVILLE ST,13,4,4.3,0,0,196,71.6,67.0,82.5,62.7,60.8,82.7,0.0,0,0,65,66,4.6,3,4
Davonte Brown,123734,CB,MIAMI FL,9,0,,0,0,220,53.9,57.5,80.5,64.0,68.6,83.3,,0,5,72,74,0.0,0,0
Quadric Bullard,123735,S,UCF,12,6,6.1,0,0,323,62.7,62.9,85.3,75.0,58.8,56.1,17.2,5,0,208,212,3.4,7,18
Josh Celiscar,123738,ED,UCF,13,19,3.8,0,0,323,75.5,65.6,88.5,51.6,70.0,74.0,12.2,6,0,318,324,6.0,19,24
Kervins Choute,123739,DI,UCF,5,3,4.5,0,0,323,,62.3,77.4,62.2,60.8,45.4,16.7,1,0,44,44,0.0,0,2
Jaiden Francois,123745,S,UTAH ST,12,8,6.3,1,0,329,70.7,65.0,0.0,66.1,61.2,61.9,13.3,4,6,229,233,3.1,7,18
Justin Hodges,123748,CB,ARK STATE,13,2,12.8,0,0,113,73.7,72.1,0.0,59.7,71.5,66.4,7.7,1,4,210,215,1.4,3,10
Corey Thornton,123763,CB,UCF,12,1,15.6,0,0,323,76.3,76.2,85.9,47.6,74.5,67.0,16.7,2,2,318,324,0.3,1,9
Olasunkonmi Agunloye,123766,DI,VIRGINIA,1,0,,0,0,335,,66.0,71.0,65.7,60.2,70.2,,0,0,2,2,0.0,0,0
Jahmeer Carter,123770,DI,VIRGINIA,12,8,4.7,0,0,335,61.2,60.5,53.8,54.5,64.5,70.3,4.3,1,3,281,287,3.2,9,14
Elijah Gaines,123776,CB,VIRGINIA,3,0,,0,0,335,65.1,56.7,74.2,57.3,46.3,21.8,100.0,1,0,9,9,0.0,0,0
