Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent
2022,Kalia Davis,DT,Central Florida,6-1,302.0,,,,,,,True,6.0,220.0,,33.62,8.7,6.1,116.0,7.8
2022,Noah Elliss,DT,Idaho,6-4,346.0,5.66,,,,,,False,,,,32.25,,,,
2022,Neil Farrell,DT,LSU,6-4,330.0,5.41,21.5,,,8.41,,True,4.0,126.0,0.86,,18.0,10.9,227.0,11.4
2022,Jonathan Ford,DT,Miami,6-5,333.0,,29.0,,102.0,,,True,7.0,234.0,3.55,32.75,10.0,4.2,174.0,5.3
2022,Haskell Garrett,DT,Ohio St.,6-2,300.0,5.07,24.0,,,,,False,,,4.62,31.62,9.1,6.7,221.0,5.9
2022,Christopher Hinton,DT,Michigan,6-4,305.0,5.28,31.5,,106.0,,,False,,,5.52,32.38,11.6,7.7,329.0,7.4
2022,Jordan Jackson,DT,Air Force,6-5,294.0,,,,,,,True,6.0,194.0,9.13,33.75,21.4,13.7,405.0,5.9
2022,Travis Jones,DT,Connecticut,6-4,325.0,4.92,28.5,,110.0,7.33,4.58,True,3.0,76.0,9.41,34.25,,,,
2022,DeMarvin Leal,DT,Texas A&M,6-4,283.0,5.0,27.5,,106.0,,4.49,True,3.0,84.0,7.43,33.25,19.4,10.4,412.0,8.3
2022,Phidarian Mathis,DT,Alabama,6-4,310.0,,23.5,,109.0,,4.91,True,2.0,47.0,,34.62,6.3,8.2,326.0,9.3
2022,Marquan McCall,DT,Kentucky,6-3,342.0,,,,,,,False,,,1.04,33.25,10.7,8.4,128.0,6.5
2022,Otito Ogbonnia,DT,UCLA,6-4,324.0,,,29.0,,,,True,5.0,160.0,4.76,34.38,13.6,6.9,291.0,5.9
2022,Jayden Peevy,DT,Texas A&M,6-5,308.0,5.3,27.0,,100.0,,,False,,,4.28,35.5,4.3,5.2,218.0,9.8
2022,LaBryan Ray,DT,Alabama,6-4,283.0,,,,,,,False,,,6.65,32.62,10.0,7.5,138.0,4.3
2022,John Ridgeway,DT,Arkansas,6-5,321.0,5.3,,,101.0,,4.73,True,5.0,178.0,4.74,33.38,0.0,3.9,218.0,8.8
2022,Eyioma Uwazurike,DT,Iowa St.,6-6,316.0,,33.0,,107.0,,,True,4.0,116.0,6.58,35.12,14.3,12.1,345.0,3.9
2022,Perrion Winfrey,DT,Oklahoma,6-4,290.0,4.89,,,,,,True,4.0,108.0,,35.25,14.7,11.9,285.0,6.1
2022,Devonte Wyatt,DT,Georgia,6-3,304.0,4.77,29.0,,111.0,,,True,1.0,28.0,9.59,32.62,18.4,10.7,263.0,11.5
2023,Keeanu Benton,DT,Wisconsin,6-4,309.0,5.08,29.5,25.0,111.0,7.34,4.65,True,2.0,49.0,8.91,33.88,19.1,11.5,227.0,10.5
2023,Bryan Bresee,DT,Clemson,6-6,298.0,4.86,29.0,22.0,,,,True,1.0,29.0,9.61,32.5,13.6,11.9,203.0,4.8
2023,Jalen Carter,DT,Georgia,6-3,314.0,,,,,,,True,1.0,9.0,,33.5,21.8,15.5,273.0,15.3
2023,Jerrod Clark,DT,Coastal Carolina,6-4,334.0,5.25,27.5,,102.0,7.6,4.83,False,,,5.26,33.75,,,,
2023,Keondre Coburn,DT,Texas,6-2,332.0,5.22,27.5,24.0,101.0,,,True,6.0,194.0,5.26,31.5,18.1,12.5,253.0,6.9
2023,DJ Dale,DT,Alabama,6-1,302.0,5.26,25.5,,98.0,7.69,4.8,False,,,2.3,32.88,20.9,8.4,180.0,4.8
2023,Gervon Dexter,DT,Florida,6-6,310.0,4.88,31.0,22.0,110.0,7.5,,True,2.0,53.0,9.53,32.25,10.9,5.8,347.0,7.7
2023,Siaki Ika,DT,Baylor,6-3,335.0,5.39,,,,7.8,4.99,True,3.0,98.0,2.74,32.38,9.1,10.7,215.0,6.6
2023,Calijah Kancey,DT,Pittsburgh,6-1,281.0,4.67,,,,,,True,1.0,19.0,9.6,30.62,21.7,19.6,275.0,7.4
2023,PJ Mustipher,DT,Penn St.,6-4,320.0,5.41,27.5,19.0,96.0,8.01,5.03,False,,,1.64,32.75,3.5,3.3,260.0,4.6
2023,Moro Ojomo,DT,Texas,6-3,292.0,5.04,33.0,29.0,112.0,,,True,7.0,249.0,9.17,34.5,17.7,15.7,206.0,7.9
2023,Zacch Pickens,DT,South Carolina,6-4,291.0,4.89,30.5,22.0,116.0,7.45,4.62,True,3.0,64.0,9.23,34.38,15.1,11.2,292.0,6.2
2023,Jalen Redmond,DT,Oklahoma,6-2,291.0,4.81,34.5,27.0,116.0,7.3,4.51,False,,,,32.62,13.3,6.4,273.0,8.4
2023,Jaquelin Roy,DT,LSU,6-3,305.0,,,30.0,,8.01,5.0,True,5.0,141.0,3.72,32.75,13.5,8.2,376.0,7.2
2023,Nesta Jade Silvera,DT,Arizona St.,6-2,304.0,5.16,29.5,,110.0,,,False,,,6.56,32.88,8.5,5.7,311.0,7.5
2023,Mazi Smith,DT,Michigan,6-3,323.0,,,34.0,,,,True,1.0,26.0,,33.75,14.9,10.1,393.0,11.6
2023,Dante Stills,DT,West Virginia,6-4,286.0,4.85,28.5,20.0,113.0,7.38,4.61,True,6.0,213.0,8.62,32.38,18.2,12.3,334.0,4.3
2023,Byron Young,DT,Alabama,6-3,294.0,,26.0,24.0,108.0,7.68,,True,3.0,70.0,5.3,34.38,19.7,8.8,299.0,6.5
2023,Cameron Young,DT,Mississippi St.,6-3,304.0,5.1,,,,,,True,4.0,123.0,6.34,34.5,3.6,4.4,336.0,4.9
