Year,Player,Pos,School,Height,Weight,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,routes,targets,receptions
2016,Johnny Holton,WR,Cincinnati,73.0,190.0,4.54,31.5,123.0,8.0,,,False,,,,32.88,8.0,2.88,26.6,56.3,18.6,114.6,,5.3,10.7,4.0,7.3,92.7,0.0,93.3,166.0,32.0,18.0
2016,Cayleb Jones,WR,Arizona,75.0,209.0,4.65,33.5,,9.0,6.99,4.14,False,,,,32.75,13.0,2.04,16.7,57.9,14.6,103.7,,11.3,5.9,9.0,9.5,90.5,0.0,95.6,451.0,95.0,55.0
2016,Kenny Lawler,WR,California,74.0,203.0,4.64,31.0,111.0,,7.13,4.2,True,7.0,243.0,,33.38,13.0,1.67,12.7,59.8,12.1,99.0,,10.3,3.4,3.0,1.2,98.8,0.0,94.7,395.0,87.0,52.0
2016,Roger Lewis,WR,Bowling Green,72.0,201.0,4.57,33.5,116.0,8.0,,,False,,,,32.0,14.0,2.67,18.2,66.9,14.7,141.5,,11.5,7.3,8.0,13.7,86.3,0.0,95.2,578.0,127.0,85.0
2016,Kolby Listenbee,WR,TCU,72.0,197.0,4.39,35.5,129.0,15.0,,,True,6.0,192.0,,31.38,11.0,1.94,19.9,53.6,21.1,98.6,,6.3,3.7,2.0,3.1,96.6,0.0,94.5,307.0,56.0,30.0
2016,Ricardo Louis,WR,Auburn,74.0,215.0,4.43,38.0,132.0,18.0,,,True,4.0,114.0,,32.38,13.0,3.51,15.6,56.8,15.8,93.5,,11.5,4.3,8.0,11.3,88.7,0.0,96.2,204.0,81.0,46.0
2016,Byron Marshall,WR,Oregon,69.0,201.0,4.42,,,17.0,,,False,,,,30.25,4.0,1.3,13.4,69.2,16.8,138.1,,10.0,2.2,1.0,8.5,91.5,0.0,98.9,93.0,13.0,9.0
2016,Jalin Marshall,WR,Ohio State,70.0,200.0,4.6,37.5,125.0,16.0,6.8,4.13,False,,,,31.5,12.0,1.64,13.3,62.1,12.2,109.6,,10.0,6.2,7.0,22.9,77.1,0.0,96.3,290.0,58.0,36.0
2016,Mekale McKay,WR,Cincinnati,76.0,207.0,4.55,35.0,123.0,12.0,7.08,4.63,False,,,,30.62,12.0,1.53,18.8,51.0,15.9,89.5,,13.3,6.7,3.0,7.2,92.8,0.0,93.0,321.0,51.0,26.0
2016,Braxton Miller,WR,Ohio State,73.0,201.0,4.5,35.0,123.0,17.0,6.65,4.07,True,3.0,85.0,,31.75,13.0,1.94,13.2,68.4,11.0,101.0,,3.7,6.2,8.0,88.0,4.4,0.5,96.2,176.0,38.0,26.0
2016,Malcolm Mitchell,WR,Georgia,72.0,198.0,4.45,36.0,129.0,15.0,6.94,4.34,True,4.0,112.0,,32.62,13.0,2.67,14.9,61.7,13.4,96.3,,4.9,4.9,13.0,8.2,91.8,0.0,97.9,324.0,94.0,58.0
2016,Chris Moore,WR,Cincinnati,73.0,206.0,4.53,37.0,130.0,10.0,6.76,4.2,True,4.0,107.0,,33.38,12.0,2.39,20.9,54.2,19.0,109.4,,11.4,5.8,8.0,8.8,91.2,0.0,93.9,341.0,72.0,39.0
2016,Marquez North,WR,Tennessee,74.0,223.0,4.48,35.0,123.0,17.0,6.9,4.13,False,,,,33.38,7.0,0.64,9.7,40.0,7.3,23.8,,0.0,7.8,1.0,7.6,92.4,0.0,97.8,90.0,15.0,6.0
2016,Jordan Payton,WR,UCLA,73.0,207.0,4.47,34.5,121.0,,7.08,4.33,True,5.0,154.0,,32.5,13.0,2.33,14.3,63.4,12.8,92.6,,4.9,5.1,16.0,4.2,95.8,0.0,94.7,478.0,123.0,78.0
