rank,Player,School,Pos,Year,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
41,Clev Lubin,Louisville,ED,2026,3.7239,75.0,250.0,,,,,,,,,,0.0,,1.0,,,,,,,,,,7.5,,,,,,,36.4,24.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mike Washington Jr.,Arkansas,RB,2026,3.7244,73.0,223.0,33.625,4.33,39.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,0.99,,,,,,,,34.0,,,,,644.0,3.86,73.2,0.2035928143712574,48.3,0.1796407185628742,0.1572052401746725,0.0153846153846153
43,Bear Alexander,Oregon,DT,2026,3.7502,75.0,315.0,,5.1,,,,,,,93.12361894347265,0.0,,1.0,,,,,,,,,,10.6,,,,,,,19.8,10.1,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Davison Igbinosun,Ole Miss,CB,2026,3.7522,74.0,192.0,,,,,,,,,,0.0,,1.0,0.6,21.7,363.0,98.1,7.6,0.0055096418732782,0.0137741046831955,42.6,47.8,2.8,12.1,7.2,285.0,0.0,2.0,5.0,25.0,14.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,
45,Diego Pavia,Vanderbilt,QB,2026,3.7558,70.0,207.0,28.58,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,2.5,9.3,116.3,13.3,4.6,0.37,55.7,13.0,,,,9.8,,,,,,,,,,,,,,,,,
46,Malik Muhammad,Texas,CB,2026,3.7619,72.0,182.0,,4.42,39.0,131.0,,,,,95.37011498534977,2.315833809199684,,1.0,0.5,5.7,366.0,98.9,10.0,0.0054644808743169,0.0054644808743169,57.8,60.0,0.9,0.0,10.9,223.0,0.0,2.0,2.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,
47,Jacob Rodriguez,Texas Tech,LB,2026,3.7801,73.375,231.0,30.875,4.57,38.5,121.0,,6.9,4.19,,105.91980566416568,1.6038156364567366,,1.0,1.2,4.5,447.0,91.8,6.4,0.0089485458612975,0.0067114093959731,,,15.3,10.3,2.8,285.0,4.0,4.0,3.0,8.3,2.9,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,DeMonte Capehart,Clemson,DT,2026,3.788,76.875,313.0,33.875,4.85,33.5,107.0,,,,,113.13770864127997,1.6320630934137939,,1.0,,,,,,,,,,8.6,,,,,,,6.6,5.2,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Austin Barber,Florida,OT,2026,3.7893,79.0,318.0,,5.12,32.0,111.0,,,,,92.55018085241318,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0857142857142857,0.0214285714285714,140.0,328.0,90.0,0.317,0.634,0.0106837606837606,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,A.J. Haulcy,New Mexico,S,2026,3.8067,71.0,215.0,,4.52,,,,,,,103.01838003989532,0.0,,0.0,0.7,13.5,406.0,98.5,10.4,0.0073891625615763,0.0098522167487684,59.0,62.2,4.3,14.3,6.7,289.0,0.0,3.0,4.0,33.3,16.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,
51,Logan Jones,Iowa,IOL,2026,3.8199,75.0,299.0,,4.9,31.0,110.0,,7.46,4.59,,103.7329822833433,,2.1108730884771507,1.0,,,,,,,,,,,,,,,,,,,,0.0229885057471264,0.0114942528735632,87.0,430.0,73.0,0.258,0.628,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
