Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2018,K.J. Malone,OG,LSU,6-4,303.0,5.34,29.5,15.0,103.0,,,False,,,5.84,33.5,0,0.12903225806451613,0.016129032258064516,62.0,203.0,72.7,0.39899999999999997,0.429,0.0
2018,Kc McDermott,OG,Miami (FL),6-6,311.0,5.35,23.5,26.0,97.0,7.72,4.82,False,,,,32.5,0,0.046875,0.010416666666666666,192.0,339.0,77.3,0.174,0.7020000000000001,0.003766478342749529
2018,Quenton Nelson,OG,Notre Dame,6-5,325.0,,26.5,35.0,105.0,7.65,4.62,True,1.0,6.0,9.68,33.75,0,0.022222222222222223,0.005555555555555556,180.0,453.0,92.0,0.48100000000000004,0.433,0.001579778830963665
2018,Skyler Phillips,OG,Idaho State,6-3,318.0,5.1,29.0,,104.0,7.95,4.69,False,,,8.24,33.0,0,,,,,,,,
2018,Billy Price,C,Ohio State,6-4,305.0,,,,,,,True,1.0,21.0,,,1,0.0472972972972973,0.013513513513513514,148.0,442.0,74.0,0.27399999999999997,0.67,0.0
2018,Scott Quessenberry,C,UCLA,6-4,310.0,5.09,33.5,25.0,111.0,7.5,4.69,True,5.0,155.0,9.15,,1,0.05154639175257732,0.005154639175257732,194.0,349.0,76.9,0.298,0.5529999999999999,0.003683241252302026
2018,Frank Ragnow,C,Arkansas,6-5,312.0,,,26.0,,,,True,1.0,20.0,9.93,,1,0.00980392156862745,0.0,102.0,232.0,90.8,0.595,0.259,0.005988023952095809
2018,Coleman Shelton,C,Washington,6-3,292.0,5.24,26.5,,110.0,7.62,4.59,False,,,7.69,,1,0.013157894736842105,0.006578947368421052,152.0,375.0,68.2,0.499,0.43700000000000006,0.0018975332068311196
2018,Braden Smith,OG,Auburn,6-6,315.0,5.22,33.5,35.0,113.0,,4.77,True,2.0,37.0,,32.25,0,0.028409090909090908,0.017045454545454544,176.0,520.0,79.7,0.344,0.569,0.0
2018,Wyatt Teller,OG,Virginia Tech,6-4,314.0,5.24,29.0,30.0,114.0,7.45,4.84,True,5.0,166.0,8.8,34.0,0,0.03773584905660377,0.0,106.0,488.0,75.0,0.381,0.512,0.0016835016835016834
2018,Salesi Uhatafe,OG,Utah,6-5,310.0,5.4,28.0,,109.0,7.7,4.9,False,,,7.65,33.0,0,0.038461538461538464,0.0,130.0,426.0,68.1,0.444,0.47700000000000004,0.008992805755395683
2018,Sean Welsh,C,Iowa,6-3,306.0,5.43,25.0,20.0,103.0,7.9,4.81,False,,,3.59,,1,0.08527131782945736,0.007751937984496124,129.0,427.0,73.9,0.21100000000000002,0.71,0.0017985611510791368
2018,Isaiah Wynn,OG,Georgia,6-3,313.0,,,,,,,True,1.0,23.0,,33.38,0,0.023076923076923078,0.007692307692307693,130.0,557.0,90.9,0.251,0.639,0.001455604075691412
2021,Drew Dalman,C,Stanford,6-3,299.0,5.11,33.0,33.0,109.0,7.33,4.52,True,4.0,114.0,9.92,,1,0.045454545454545456,0.0,88.0,179.0,90.1,0.35200000000000004,0.525,0.003745318352059925
2021,Drake Jackson,C,Kentucky,6-1,293.0,,31.0,,,,,False,,,,,1,0.020618556701030927,0.0,97.0,393.0,85.4,0.293,0.654,0.0020408163265306124
