Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2019,Mike Edwards,S,Kentucky,5-10,205.0,,,,,,,True,3.0,99.0,7.48,31.62,27.3,18.2,23.0,4.6,12.5,6.6,378.0,1.0,1.0,14.3,424.0,94.9,2.0,5.0,8.1,0.0047169811320754715,0.01179245283018868,90.2,59.2,10.6
2019,Malik Gant,S,Marshall,6-0,209.0,4.63,34.5,17.0,114.0,7.45,4.3,False,,,3.06,30.5,14.3,10.5,40.0,9.8,9.9,3.0,376.0,0.0,0.4,23.5,489.0,92.4,2.0,5.0,13.5,0.00408997955010225,0.010224948875255624,56.7,52.9,9.7
2019,Chauncey Gardner-Johnson,S,Florida,5-11,210.0,4.48,36.0,17.0,117.0,7.03,4.2,True,4.0,105.0,7.88,30.88,20.0,11.1,18.0,2.2,25.0,11.7,276.0,0.0,0.8,14.0,371.0,95.4,4.0,1.0,6.1,0.01078167115902965,0.0026954177897574125,44.7,56.1,11.0
2019,Saquan Hampton,S,Rutgers,6-1,206.0,4.48,,14.0,125.0,,,True,6.0,177.0,9.11,31.62,0.0,0.0,2.0,1.8,16.7,9.0,398.0,0.0,0.9,16.7,396.0,99.5,3.0,9.0,6.2,0.007575757575757576,0.022727272727272728,45.7,48.3,14.3
2019,Will Harris,S,Boston Col.,6-1,207.0,4.41,36.5,20.0,123.0,6.91,4.12,True,3.0,81.0,9.65,31.25,0.0,0.0,38.0,3.3,14.3,6.3,401.0,0.0,0.7,7.1,460.0,92.4,1.0,1.0,15.9,0.002173913043478261,0.002173913043478261,97.9,64.3,10.1
2019,Amani Hooker,S,Iowa,5-11,210.0,4.48,37.0,14.0,123.0,6.81,4.1,True,4.0,116.0,9.1,30.12,9.1,3.4,30.0,2.2,11.1,4.6,370.0,0.0,0.9,14.5,434.0,93.5,4.0,6.0,6.0,0.009216589861751152,0.013824884792626729,55.8,56.5,7.2
2019,Jaquan Johnson,S,Miami (FL),5-10,191.0,4.69,33.0,18.0,121.0,,,True,6.0,181.0,3.41,29.62,0.0,6.7,15.0,5.1,6.8,7.6,358.0,1.0,0.2,0.0,275.0,94.8,2.0,0.0,22.3,0.007272727272727273,0.0,44.1,75.0,8.8
2019,Mark McLaurin,S,Mississippi State,6-1,212.0,4.77,36.0,12.0,,,4.46,False,,,2.59,31.62,0.0,5.6,18.0,3.5,11.6,8.5,353.0,0.0,0.7,8.6,449.0,96.1,0.0,2.0,12.3,0.0,0.004454342984409799,104.7,77.1,10.6
2019,Taylor Rapp,S,Washington,6-0,208.0,,35.0,17.0,115.0,6.82,3.99,True,2.0,61.0,5.62,30.75,4.5,5.1,41.0,2.6,3.1,6.7,351.0,0.0,0.1,27.8,434.0,91.4,2.0,5.0,22.9,0.004608294930875576,0.01152073732718894,12.0,44.4,7.3
2019,Sheldrick Redwine,S,Miami (FL),6-0,196.0,4.44,39.0,,130.0,,4.14,True,4.0,119.0,8.61,31.75,7.7,13.6,24.0,1.8,12.2,11.9,401.0,0.0,0.4,8.0,327.0,93.2,3.0,1.0,12.8,0.009174311926605505,0.0030581039755351682,52.7,64.0,8.7
2019,Darnell Savage,S,Maryland,5-11,198.0,4.36,39.5,11.0,126.0,7.03,4.14,True,1.0,21.0,8.37,31.0,0.0,0.0,4.0,4.5,12.5,5.2,339.0,0.0,0.8,8.2,338.0,98.8,4.0,4.0,6.4,0.011834319526627219,0.011834319526627219,36.0,57.1,8.3
2019,Marvell Tell,S,USC,6-2,198.0,,42.0,,136.0,6.63,4.01,True,5.0,144.0,9.29,33.12,25.0,7.7,29.0,4.4,18.6,6.0,328.0,1.0,0.6,10.5,393.0,93.1,1.0,4.0,9.7,0.002544529262086514,0.010178117048346057,74.9,60.5,7.7
