Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2018,Greg Senat,OT,Wagner,6-6,302.0,5.38,26.0,19.0,106.0,7.41,4.71,True,6.0,212.0,5.85,34.88,,,,,,,,
2018,Rod Taylor,OT,Mississippi,6-3,320.0,5.24,30.5,,99.0,,,True,7.0,252.0,,34.25,0.07482993197278912,0.006802721088435374,147.0,275.0,70.5,0.545,0.35600000000000004,0.011848341232227487
2018,Brett Toth,OT,Army,6-6,291.0,,,,,,,False,,,5.97,33.38,0.25,0.08333333333333333,12.0,737.0,84.9,0.22399999999999998,0.315,0.0
2018,Toby Weathersby,OT,LSU,6-4,317.0,5.34,24.5,28.0,106.0,8.55,5.38,False,,,3.1,33.25,0.07777777777777778,0.0,90.0,403.0,68.1,0.46399999999999997,0.36200000000000004,0.002028397565922921
2018,Connor Williams,OT,Texas,6-5,296.0,5.05,34.0,26.0,112.0,7.83,4.63,True,2.0,50.0,,33.0,0.1016949152542373,0.0,59.0,135.0,83.4,0.35600000000000004,0.593,0.020618556701030927
2019,Paul Adams,OT,Missouri,6-6,317.0,5.18,27.0,16.0,103.0,7.68,4.74,False,,,6.5,33.5,0.12666666666666668,0.02,150.0,500.0,64.9,0.384,0.586,0.007692307692307693
2019,Jackson Barton,OT,Utah,6-7,310.0,5.18,27.0,25.0,109.0,7.85,4.66,True,7.0,240.0,8.25,34.0,0.07407407407407407,0.012345679012345678,81.0,475.0,59.7,0.39399999999999996,0.547,0.0017985611510791368
2019,Yodny Cajuste,OT,West Virginia,6-5,312.0,,,32.0,,,,True,3.0,101.0,,34.0,0.0423728813559322,0.0,118.0,298.0,76.6,0.242,0.611,0.016826923076923076
2019,Dennis Daley,OT,South Carolina,6-5,317.0,5.23,26.5,20.0,103.0,7.95,4.92,True,6.0,212.0,3.89,33.38,0.1056338028169014,0.014084507042253521,142.0,304.0,67.5,0.276,0.6779999999999999,0.004484304932735426
2019,Andre Dillard,OT,Washington State,6-5,315.0,4.96,29.0,24.0,118.0,7.44,4.4,True,1.0,22.0,9.81,33.5,0.02120141342756184,0.0035335689045936395,283.0,240.0,71.8,0.27899999999999997,0.5379999999999999,0.0
2019,Chuma Edoga,OT,USC,6-3,308.0,5.19,,21.0,,,,True,3.0,92.0,,34.75,0.030612244897959183,0.0,98.0,248.0,59.2,0.391,0.552,0.014450867052023121
2019,David Edwards,OT,Wisconsin,6-6,308.0,5.28,25.5,,99.0,7.69,4.77,True,5.0,169.0,4.71,33.38,0.13432835820895522,0.022388059701492536,134.0,387.0,76.6,0.46299999999999997,0.39,0.003838771593090211
