Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,Sacks_final_season,TFL_cumulative,TFL_final_season,QB_Hurry_cumulative,QB_Hurry_final_season,PD_cumulative,PD_final_season,SOLO_cumulative,SOLO_final_season,TOT_cumulative,TOT_final_season
2014,Anthony Barr,OLB,UCLA,6-5,255.0,4.66,34.5,15.0,119.0,6.82,4.19,True,1.0,9.0,,,,,,,,,,,,
2014,Lamin Barrow,ILB,LSU,6-1,237.0,4.64,35.0,22.0,123.0,7.24,4.35,True,5.0,156.0,,,,,,,,,,,,
2014,Chris Borland,ILB,Wisconsin,5-11,248.0,4.83,31.0,27.0,114.0,7.18,4.27,True,3.0,77.0,,,,,,,,,,,,
2014,Carl Bradford,OLB,Arizona State,6-1,250.0,4.76,37.5,23.0,122.0,7.25,4.3,True,4.0,121.0,,,,,,,,,,,,
2014,Jonathan Brown,OLB,Illinois,6-0,238.0,5.03,31.0,16.0,108.0,7.77,4.56,False,,,,,,,,,,,,,,
2014,Preston Brown,ILB,Louisville,6-1,251.0,4.86,33.0,23.0,116.0,6.98,4.26,True,3.0,73.0,,,,,,,,,,,,
2014,Max Bullough,ILB,Michigan State,6-3,249.0,4.78,31.0,30.0,112.0,7.22,4.3,False,,,,,,,,,,,,,,
2014,Kasim Edebali,OLB,Boston Col.,6-2,253.0,4.79,34.5,19.0,115.0,7.2,4.35,False,,,,,,,,,,,,,,
2014,Khairi Fortt,OLB,California,6-2,248.0,4.7,36.0,30.0,120.0,,,True,4.0,126.0,,,,,,,,,,,,
2014,Jeremiah George,ILB,Iowa State,5-11,234.0,4.91,33.0,28.0,116.0,,,True,5.0,154.0,,,,,,,,,,,,
2014,Anthony Hitchens,OLB,Iowa,6-0,240.0,4.74,31.5,23.0,116.0,7.15,4.45,True,4.0,119.0,,,,,,,,,,,,
2014,Adrian Hubbard,OLB,Alabama,6-6,257.0,4.69,38.5,,117.0,,,False,,,,,,,,,,,,,,
2014,Andrew Jackson,ILB,Western Kentucky,6-1,254.0,4.9,,,,,,True,6.0,203.0,,,,,,,,,,,,
2014,Christian Jones,OLB,Florida State,6-3,240.0,4.68,33.5,,115.0,,,False,,,,,,,,,,,,,,
2014,Howard Jones,OLB,Shepherd,6-2,235.0,4.6,40.5,21.0,124.0,7.16,4.41,False,,,,,,,,,,,,,,
2014,Devon Kennard,OLB,USC,6-3,249.0,4.7,30.0,23.0,113.0,7.25,4.32,True,5.0,174.0,,,,,,,,,,,,
2014,Christian Kirksey,OLB,Iowa,6-2,233.0,4.72,32.0,16.0,122.0,,,True,3.0,71.0,,,,,,,,,,,,
2014,Boseko Lokombo,OLB,Oregon,6-2,225.0,4.66,,,122.0,7.15,4.3,False,,,,,,,,,,,,,,
2014,Khalil Mack,OLB,Buffalo,6-3,251.0,4.65,40.0,23.0,128.0,7.08,4.18,True,1.0,5.0,,,,,,,,,,,,
2014,James Morris,ILB,Iowa,6-1,241.0,4.8,34.5,18.0,117.0,6.94,4.36,False,,,,,,,,,,,,,,
2014,C.J. Mosley,ILB,Alabama,6-2,234.0,4.65,35.0,,118.0,7.3,4.4,True,1.0,17.0,,,,,,,,,,,,
2014,Jonathan Newsome,OLB,Ball State,6-3,247.0,4.73,34.0,21.0,117.0,7.31,4.63,True,5.0,166.0,,,,,,,,,,,,
