Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2016,Alex McCalister,DE,Florida,6-6,239.0,4.8,34.5,,128.0,7.01,4.0,True,7.0,240.0,,,,,,
2016,Carl Nassib,DE,Penn State,6-7,277.0,4.84,28.5,21.0,114.0,7.27,4.37,True,3.0,65.0,,,,,,
2016,Giorgio Newberry,DE,Florida State,6-5,285.0,4.94,30.0,20.0,114.0,7.53,4.78,False,,,,,,,,
2016,Yannick Ngakoue,DE,Maryland,6-2,252.0,4.75,34.5,26.0,118.0,7.35,4.5,True,3.0,69.0,,,,,,
2016,Dadi Nicolas,DE,Virginia Tech,6-3,235.0,4.74,41.0,14.0,116.0,7.04,4.38,True,6.0,203.0,,,,,,
2016,Shawn Oakman,DE,Baylor,6-8,287.0,4.96,32.0,23.0,123.0,7.53,4.56,False,,,,,,,,
2016,Victor Ochi,DE,Stony Brook,6-1,246.0,4.86,32.0,,119.0,7.24,4.4,False,,,,,,,,
2016,Emmanuel Ogbah,DE,Oklahoma State,6-4,273.0,4.63,35.5,20.0,121.0,7.26,4.5,True,2.0,32.0,,,,,,
2016,Romeo Okwara,DE,Notre Dame,6-5,265.0,4.9,33.0,23.0,120.0,7.38,4.53,False,,,,,,,,
2016,Drew Ott,DE,Iowa,6-4,273.0,4.88,,,,,,False,,,,,,,,
2016,D.J. Pettway,DE,Alabama,6-2,265.0,4.99,28.0,17.0,108.0,7.74,4.69,False,,,,,,,,
2016,Noah Spence,DE,East. Kentucky,6-2,251.0,4.8,35.0,25.0,121.0,7.21,4.35,True,2.0,39.0,,,,,,
2016,Charles Tapper,DE,Oklahoma,6-3,271.0,4.59,34.0,23.0,119.0,,,True,4.0,101.0,,,,,,
2016,Ron Thompson,DE,Syracuse,6-3,253.0,4.92,,18.0,,7.46,4.5,False,,,,,,,,
2017,Derek Barnett,DE,Tennessee,6-3,259.0,4.88,31.0,,117.0,6.96,4.44,True,1.0,14.0,13.0,19.0,16.0,13.0,19.0,16.0
2017,Tarell Basham,DE,Ohio,6-4,269.0,4.7,31.5,15.0,119.0,7.27,4.35,True,3.0,80.0,11.5,15.0,10.0,11.5,15.0,10.0
2017,Fadol Brown,DE,Mississippi,6-4,273.0,4.94,34.0,19.0,115.0,7.24,4.44,False,,,2.5,5.5,1.0,2.5,5.5,1.0
2017,Josh Carraway,DE,TCU,6-3,242.0,4.74,29.5,25.0,120.0,7.2,4.44,True,7.0,227.0,8.0,11.0,5.0,8.0,11.0,5.0
2017,Taco Charlton,DE,Michigan,6-6,277.0,4.92,33.0,25.0,116.0,7.17,4.39,True,1.0,28.0,9.5,13.0,8.0,9.5,13.0,8.0
2017,Keionta Davis,DE,Tenn-Chattanooga,6-3,271.0,,,,,,,False,,,,,,,,
2017,Ken Ekanem,DE,Virginia Tech,6-3,257.0,4.88,30.5,,115.0,7.38,4.58,False,,,7.5,10.0,11.0,7.5,10.0,11.0
2017,Myles Garrett,DE,Texas A&M,6-4,272.0,4.64,41.0,33.0,128.0,,,True,1.0,1.0,8.5,15.0,9.0,8.5,15.0,9.0
2017,Daeshon Hall,DE,Texas A&M,6-5,266.0,4.76,36.0,18.0,123.0,7.03,4.38,True,3.0,77.0,3.5,13.0,12.0,3.5,13.0,12.0
2017,Charles Harris,DE,Missouri,6-3,253.0,4.82,32.0,21.0,109.0,7.47,4.42,True,1.0,22.0,9.0,12.0,10.0,9.0,12.0,10.0
2017,Trey Hendrickson,DE,Florida Atlantic,6-4,266.0,4.65,33.5,,122.0,7.03,4.2,True,3.0,103.0,9.5,14.0,7.0,9.5,14.0,7.0
2017,Bryan Cox Jr.,DE,Florida,6-3,265.0,4.89,26.5,16.0,109.0,7.36,4.46,False,,,,,,,,
2017,Deatrich Wise Jr.,DE,Arkansas,6-5,274.0,4.92,33.0,22.0,124.0,,,True,4.0,131.0,,,,,,
2017,Tanoh Kpassagnon,DE,Villanova,6-7,289.0,4.83,30.0,23.0,128.0,7.46,4.62,True,2.0,59.0,,,,,,
2017,Carl Lawson,DE,Auburn,6-2,261.0,4.67,33.0,35.0,114.0,7.46,4.19,True,4.0,116.0,9.0,13.5,24.0,9.0,13.5,24.0
2017,Joe Mathis,DE,Washington,6-2,266.0,,,24.0,,,,False,,,5.0,7.5,0.0,5.0,7.5,0.0
2017,Avery Moss,DE,Youngstown State,6-3,264.0,4.79,32.5,14.0,114.0,7.25,4.43,True,5.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Al-Quadin Muhammad,DE,Miami (FL),6-3,253.0,4.88,30.5,22.0,117.0,7.25,4.47,True,6.0,196.0,,,,,,
2017,Noble Nwachukwu,DE,West Virginia,6-1,268.0,4.83,30.5,27.0,110.0,,,False,,,4.0,7.5,3.0,4.0,7.5,3.0
