Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2016,Sheldon Rankins,DT,Louisville,6-1,299.0,5.03,34.5,28.0,118.0,7.44,4.59,True,1.0,12.0,,,,,,
2016,D.J. Reader,DT,Clemson,6-3,327.0,5.33,29.5,30.0,99.0,7.9,4.71,True,5.0,166.0,,,,,,
2016,Jarran Reed,DT,Alabama,6-3,307.0,5.21,31.0,,104.0,7.77,4.75,True,2.0,49.0,,,,,,
2016,Hassan Ridgeway,DT,Texas,6-3,303.0,5.02,32.0,24.0,113.0,8.28,4.82,True,4.0,116.0,,,,,,
2016,A'Shawn Robinson,DT,Alabama,6-4,307.0,5.2,26.0,22.0,106.0,7.8,4.74,True,2.0,46.0,,,,,,
2016,Devaunte Sigler,DT,Jacksonville State,6-3,298.0,5.15,25.0,23.0,,7.9,4.97,False,,,,,,,,
2016,Lawrence Thomas,DT,Michigan State,6-3,286.0,4.98,35.0,,113.0,,,False,,,,,,,,
2016,Vincent Valentine,DT,Nebraska,6-4,329.0,5.19,29.0,17.0,110.0,8.03,4.59,True,3.0,96.0,,,,,,
2016,Jihad Ward,DT,Illinois,6-5,297.0,5.11,25.0,20.0,111.0,7.38,4.63,True,2.0,44.0,,,,,,
2016,Adolphus Washington,DT,Ohio State,6-3,301.0,5.17,27.0,21.0,99.0,8.06,4.79,True,3.0,80.0,,,,,,
2016,Connor Wujciak,DT,Boston Col.,6-2,291.0,4.91,34.5,22.0,117.0,7.32,4.27,False,,,,,,,,
2016,Anthony Zettel,DT,Penn State,6-4,277.0,4.81,30.5,28.0,109.0,7.63,4.39,True,6.0,202.0,,,,,,
2017,Montravius Adams,DT,Auburn,6-4,304.0,4.87,29.0,22.0,108.0,7.62,4.89,True,3.0,93.0,4.5,8.5,15.0,4.5,8.5,15.0
2017,Jonathan Allen,DT,Alabama,6-3,286.0,5.0,30.0,21.0,108.0,7.49,4.5,True,1.0,17.0,10.5,16.0,15.0,10.5,16.0,15.0
2017,Caleb Brantley,DT,Florida,6-3,307.0,5.14,27.0,21.0,105.0,7.66,4.62,True,6.0,185.0,2.5,9.5,3.0,2.5,9.5,3.0
