Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,avg_depth_of_target,attempts,dropbacks
2021,Ian Book,QB,Notre Dame,72.0,211.0,4.65,32.5,,115.0,6.99,4.19,True,4.0,133.0,7.36,,12.0,3.2,2.4,7.9,98.5,18.1,6.2,0.22,48.5,8.5,358.0,439.0
2021,Brady Davis,QB,Memphis,,,4.65,31.0,,114.0,7.06,4.2,False,,,,,,,,,,,,,,,,
2021,Sam Ehlinger,QB,Texas,73.0,220.0,4.84,36.5,,114.0,7.15,4.44,True,6.0,218.0,6.79,,10.0,4.8,1.7,7.9,105.5,20.2,6.6,0.15,43.6,11.0,323.0,381.0
2021,Justin Fields,QB,Ohio St.,74.0,227.0,4.45,,,,,,True,1.0,11.0,,,8.0,7.8,2.3,9.3,120.4,25.0,7.5,0.31,56.9,10.4,226.0,281.0
2021,Feleipe Franks,QB,Arkansas,78.0,234.0,4.61,32.5,,117.0,7.16,4.22,False,,,9.56,,9.0,6.6,2.7,8.7,111.9,27.7,10.0,0.06,46.1,7.4,238.0,310.0
2021,Mac Jones,QB,Alabama,74.0,217.0,4.72,32.0,,116.0,7.04,4.39,True,1.0,15.0,7.15,,13.0,7.4,2.4,11.1,141.6,12.3,2.3,0.57,61.7,8.8,406.0,428.0
2021,Trey Lance,QB,North Dakota St.,75.0,224.0,,,,,,,True,1.0,3.0,,,,,,,,,,,,,,
2021,Trevor Lawrence,QB,Clemson,77.0,213.0,,,,,,,True,1.0,1.0,,,10.0,7.1,3.4,9.3,114.7,15.7,3.8,0.27,50.0,9.0,340.0,364.0
2021,Davis Mills,QB,Stanford,75.0,217.0,4.82,32.0,,110.0,6.95,4.4,True,3.0,67.0,6.58,,5.0,7.7,3.5,7.7,94.6,19.0,5.1,0.21,51.2,7.9,196.0,217.0
2021,David Moore,QB,Central Michigan,72.0,200.0,4.86,29.5,,112.0,7.62,4.75,False,,,2.14,,,,,,,,,,,,,
2021,Jamie Newman,QB,Georgia,74.0,234.0,,,,,,,False,,,,,,,,,,,,,,,,
2021,Peyton Ramsey,QB,Northwestern,73.0,215.0,4.77,28.0,,108.0,7.28,4.41,False,,,4.17,,9.0,4.8,2.9,6.1,80.6,12.0,4.5,0.07,43.8,8.8,283.0,333.0
2021,Zach Smith,QB,Tulsa,75.0,222.0,5.23,29.5,,111.0,7.26,4.52,False,,,2.85,,9.0,5.0,5.7,7.4,80.1,18.6,6.5,-0.07,40.6,11.9,263.0,293.0
2021,Zac Thomas,QB,Appalachian St.,72.0,205.0,4.59,30.0,,115.0,7.06,4.28,False,,,,,12.0,4.2,3.5,7.4,92.5,28.6,6.3,0.17,47.7,10.8,295.0,352.0
2021,Kevin Thomson,QB,Washington,72.0,198.0,4.75,35.5,21.0,126.0,6.98,4.23,False,,,8.41,,,,,,,,,,,,,
2021,Kyle Trask,QB,Florida,77.0,236.0,5.1,31.5,,113.0,7.08,4.6,True,2.0,64.0,5.9,,12.0,8.9,2.6,9.8,125.2,16.9,4.5,0.33,53.6,10.1,438.0,470.0
2021,Brady White,QB,Memphis,73.0,210.0,4.84,29.0,,,6.97,4.33,False,,,5.12,,11.0,5.3,3.8,8.0,100.5,22.1,4.1,0.13,45.6,10.4,421.0,467.0
2021,Zach Wilson,QB,BYU,74.0,214.0,,,,,,,True,1.0,2.0,,,,,,,,,,,,,,
2022,Jack Coan,QB,Notre Dame,75.0,218.0,4.9,33.0,,115.0,6.95,4.39,False,,,7.69,,13.0,6.0,2.0,8.2,105.0,27.0,7.8,0.17,46.1,9.3,385.0,434.0
2022,Matt Corral,QB,Mississippi,74.0,212.0,,,,,,,True,3.0,94.0,,,13.0,4.3,1.8,8.5,104.9,15.4,4.4,0.2,48.5,8.5,392.0,472.0
2022,Dustin Crum,QB,Kent St.,73.0,210.0,4.75,32.5,,120.0,,4.36,False,,,,,14.0,7.1,1.6,8.5,101.5,30.4,8.2,0.09,47.4,11.1,382.0,462.0
2022,Kaleb Eleby,QB,Western Michigan,73.0,208.0,,25.5,,111.0,7.57,,False,,,1.69,,13.0,5.5,3.7,9.1,107.1,25.8,7.1,0.19,47.9,11.3,361.0,434.0
2022,Sam Howell,QB,North Carolina,73.0,218.0,,,,,,,True,5.0,144.0,,,12.0,6.1,2.2,8.7,101.7,31.8,10.6,0.1,45.0,11.7,351.0,462.0
2022,Cole Kelley,QB,Southeastern Louisiana,79.0,249.0,,,,,,,False,,,2.38,,,,,,,,,,,,,
2022,D'Eriq King,QB,Miami,69.0,196.0,,,,,,,False,,,5.43,,3.0,4.6,3.1,6.2,76.9,21.4,6.0,-0.11,44.4,7.8,124.0,151.0
2022,EJ Perry,QB,Brown,74.0,211.0,4.65,34.5,,123.0,6.85,4.18,False,,,9.43,,,,,,,,,,,,,
2022,Kenny Pickett,QB,Pittsburgh,75.0,217.0,4.73,33.5,,121.0,,4.29,True,1.0,20.0,9.53,,13.0,5.2,2.8,8.6,116.0,19.3,5.3,0.23,50.8,9.7,499.0,581.0
2022,Brock Purdy,QB,Iowa St.,73.0,212.0,4.84,27.0,,,7.21,4.45,True,7.0,262.0,,,13.0,2.6,2.7,7.8,101.5,15.4,4.7,0.15,49.5,7.5,409.0,467.0
2022,Desmond Ridder,QB,Cincinnati,75.0,211.0,4.52,36.0,,127.0,7.15,4.29,True,3.0,74.0,9.62,,14.0,6.5,2.0,8.6,108.9,26.7,6.2,0.12,49.7,10.6,387.0,435.0
2022,Carson Strong,QB,Nevada,75.0,226.0,,,,,,,False,,,,,12.0,5.6,2.0,8.0,109.7,24.5,6.7,0.16,46.2,8.6,527.0,580.0
2022,Skylar Thompson,QB,Kansas St.,74.0,217.0,4.91,31.0,,112.0,7.0,4.28,True,7.0,247.0,,,10.0,4.8,3.9,9.0,106.9,19.1,6.8,0.25,47.4,8.9,235.0,266.0
